ISO3,COUNTRY,ADM_NAME,year,month,ndvi,data_status
ETH,Ethiopia,Keffa,2018,7,0.6674447419957188,original
ETH,Ethiopia,Kelem Wellega,2018,7,0.7464933428694395,original
ETH,Ethiopia,Mehakelegnaw,2018,7,0.3635643448027139,original
ETH,Ethiopia,Mirab Arsi,2018,7,0.5326463891435561,original
ETH,Ethiopia,Mirab Gojjam,2018,7,0.5349067024469066,original
ETH,Ethiopia,Mirab Hararghe,2018,7,0.5109839380488611,original
ETH,Ethiopia,Mirab Shewa,2018,7,0.5772495501646401,original
ETH,Ethiopia,Mirab Welega,2018,7,0.6637292066761303,original
ETH,Ethiopia,Misraq Gojjam,2018,7,0.5307439453255143,original
ETH,Ethiopia,Misraq Harerge,2018,7,0.4339899501169509,original
ETH,Ethiopia,Misraq Shewa,2018,7,0.4232733703942034,original
ETH,Ethiopia,Misraq Wellega,2018,7,0.6748569096946565,original
ETH,Ethiopia,Misraqawi,2018,7,0.3312969022474443,original
ETH,Ethiopia,North Shewa,2018,7,0.5333835614863285,original
ETH,Ethiopia,Semen Gondar,2018,7,0.6318289517336088,original
ETH,Ethiopia,Semen Wello,2018,7,0.466608752406101,original
ETH,Ethiopia,Sidama,2018,7,0.5269416665214433,original
ETH,Ethiopia,Silti,2018,7,0.5052307334136397,original
ETH,Ethiopia,Wag Himra,2018,7,0.3479271237696166,original
ETH,Ethiopia,Agew Awi,2018,8,0.757375452969282,original
ETH,Ethiopia,Alaba,2018,8,0.577055765490414,original
ETH,Ethiopia,Arsi,2018,8,0.6060155711256047,original
ETH,Ethiopia,Bale,2018,8,0.3827131157590903,original
ETH,Ethiopia,Bench Maji,2018,8,0.668847199869235,original
ETH,Ethiopia,Borena,2018,8,0.3833687318998557,original
ETH,Ethiopia,Debub Gondar,2018,8,0.6629610636519421,original
ETH,Ethiopia,Debub Mirab Shewa,2018,8,0.6337585008359989,original
ETH,Ethiopia,Debub Omo,2018,8,0.4669307089737227,original
ETH,Ethiopia,Debub Wollo,2018,8,0.633129948861251,original
ETH,Ethiopia,Debubawi,2018,8,0.5199891528314367,original
ETH,Ethiopia,Fafan,2018,8,0.3072382501850479,original
ETH,Ethiopia,Gamo Gofa,2018,8,0.5460079697810181,original
ETH,Ethiopia,Guji,2018,8,0.44101160876454,original
ETH,Ethiopia,Gurage,2018,8,0.6495864646708029,original
ETH,Ethiopia,Hadiya,2018,8,0.6185281999147347,original
ETH,Ethiopia,Horo Guduru,2018,8,0.7218581097623935,original
