ISO3,COUNTRY,ADM_NAME,year,month,temp_c,pet_mm,soil_0_7cm,soil_7_28cm,data_status,lat_wgs84,lon_wgs84
ETH,Ethiopia,Mirab Hararghe,2012,7,21.25416378818533,203.75332158626577,0.3193676422567757,0.3098768797377872,original,959821.8674397503,695425.1512868485
ETH,Ethiopia,Mirab Shewa,2012,7,15.87895940923184,123.05443971973844,0.45571321983773,0.460330989495068,original,1012787.6426533792,374720.2339558294
ETH,Ethiopia,Mirab Welega,2012,7,18.15419322248497,139.00606914659895,0.4755770005385726,0.4870947267131932,original,1032697.9544891039,93189.34631555267
ETH,Ethiopia,Misraq Gojjam,2012,7,16.29838211993009,126.14987791112053,0.4443374609594787,0.4437588932964357,original,1162307.4901609693,382504.35478102614
ETH,Ethiopia,Misraq Harerge,2012,7,21.172014597690765,213.94871713272235,0.2220591071676582,0.2740208488335271,original,977116.6510985142,830176.1323061767
ETH,Ethiopia,Misraq Shewa,2012,7,19.836843158142404,195.4134867377716,0.3090352329625974,0.2879435317697607,original,941809.9861702574,516513.8849465026
ETH,Ethiopia,Misraq Wellega,2012,7,17.890269765167805,133.530927875413,0.4765923305459875,0.4847220555157086,original,1039747.3867830498,238185.46961815926
ETH,Ethiopia,Misraqawi,2012,7,18.5382404093532,166.78548671099244,0.3713026827519007,0.3814711382692544,original,1557122.5327505618,561161.672201031
ETH,Ethiopia,North Shewa,2012,7,16.523496688018447,143.4525407971907,0.4458424819108892,0.4410478033779978,original,1077319.1297421285,519061.2007128659
ETH,Ethiopia,Semen Gondar,2012,7,20.207915548513085,142.86144010423865,0.443641752489235,0.4438179058801379,original,1403688.5691285583,283385.27954423864
ETH,Ethiopia,Semen Wello,2012,7,17.35468682766656,174.67330553782713,0.4021455352529395,0.4062930176620983,original,1313128.4243678527,523400.57115138916
ETH,Ethiopia,Sidama,2012,7,15.504261831228176,169.21163374082502,0.4392610138133145,0.4370846492005866,original,736495.4309496412,448981.57327440515
ETH,Ethiopia,Silti,2012,7,15.855039064818808,126.09760670405475,0.4690663060602464,0.4682393177317743,original,860238.8301044789,413973.540730715
ETH,Ethiopia,Wag Himra,2012,7,19.395689359253257,168.00375722666377,0.3546167150500242,0.3385135878031072,original,1405454.9019432787,480362.52930550167
ETH,Ethiopia,Agew Awi,2012,8,18.17034218563601,120.18317073358382,0.4701550662610083,0.4807573425669225,original,1237966.7252032289,237630.7306528011
ETH,Ethiopia,Alaba,2012,8,17.00472018785097,140.93803216269546,0.4379696236929392,0.4381015462545651,original,819281.7111043445,413070.2957213864
ETH,Ethiopia,Arsi,2012,8,16.33902893080366,182.42111136411663,0.4242171891161351,0.4229731381015633,original,877645.5697772538,574724.9062585309
ETH,Ethiopia,Bale,2012,8,22.61175750870148,292.6548316256415,0.2110695874579849,0.2672414785445526,original,747946.3065913733,681361.231348667
ETH,Ethiopia,Bench Maji,2012,8,21.81935874982385,252.7495616590041,0.4308687070237956,0.4374491521491823,original,701473.8482259716,114196.96727000308
ETH,Ethiopia,Borena,2012,8,22.39634336172245,258.75358025227644,0.1649516878953153,0.2574129514604101,original,515172.1606803286,418016.61866877874
ETH,Ethiopia,Debub Gondar,2012,8,16.435604632588255,134.75600843979032,0.4455812929551968,0.4538639775113301,original,1298625.058155536,403618.6083826701
ETH,Ethiopia,Debub Mirab Shewa,2012,8,15.013040056502152,124.86401185814329,0.4787280124067652,0.4854263636894417,original,951583.702996164,413642.13798491366
ETH,Ethiopia,Debub Omo,2012,8,25.866734384967643,260.12076368650963,0.2306450682847473,0.2579852726180713,original,594506.2145672034,208934.4131032283
