ISO3,COUNTRY,ADM_NAME,year,month,spei_03,data_status,lat_wgs84,lon_wgs84
ETH,Ethiopia,Mirab Shewa,2005,4,0.378684683833686,original,1012787.6426533792,374720.2339558294
ETH,Ethiopia,Mirab Welega,2005,4,-0.0850690966109614,original,1032697.9544891039,93189.34631555267
ETH,Ethiopia,Misraq Gojjam,2005,4,0.8587567417232358,original,1162307.4901609693,382504.35478102614
ETH,Ethiopia,Misraq Harerge,2005,4,-0.1809846400612929,original,977116.6510985142,830176.1323061767
ETH,Ethiopia,Misraq Shewa,2005,4,0.1114437480681034,original,941809.9861702574,516513.8849465026
ETH,Ethiopia,Misraq Wellega,2005,4,0.4073045934202202,original,1039747.3867830498,238185.46961815926
ETH,Ethiopia,Misraqawi,2005,4,0.0982266911536181,original,1557122.5327505618,561161.672201031
ETH,Ethiopia,North Shewa,2005,4,0.2181989946701513,original,1077319.1297421285,519061.2007128659
ETH,Ethiopia,Semen Gondar,2005,4,-1.0629594163016538,original,1403688.5691285583,283385.27954423864
ETH,Ethiopia,Semen Wello,2005,4,0.7689546828571344,original,1313128.4243678527,523400.57115138916
ETH,Ethiopia,Sidama,2005,4,0.7841593715014369,original,736495.4309496412,448981.57327440515
ETH,Ethiopia,Silti,2005,4,0.7253007443781891,original,860238.8301044789,413973.540730715
ETH,Ethiopia,Wag Himra,2005,4,-0.1477883167171217,original,1405454.9019432787,480362.52930550167
ETH,Ethiopia,Agew Awi,2005,5,0.2306351417001583,original,1237966.7252032289,237630.7306528011
ETH,Ethiopia,Alaba,2005,5,1.1722931371976253,original,819281.7111043445,413070.2957213864
ETH,Ethiopia,Arsi,2005,5,0.7731810373842986,original,877645.5697772538,574724.9062585309
ETH,Ethiopia,Bale,2005,5,0.2434576579524293,original,747946.3065913733,681361.231348667
ETH,Ethiopia,Bench Maji,2005,5,0.5442096819052616,original,701473.8482259716,114196.96727000308
ETH,Ethiopia,Borena,2005,5,0.3386853045036667,original,515172.1606803286,418016.61866877874
ETH,Ethiopia,Debub Gondar,2005,5,0.2542444160786851,original,1298625.058155536,403618.6083826701
ETH,Ethiopia,Debub Mirab Shewa,2005,5,0.4333393512890011,original,951583.702996164,413642.13798491366
ETH,Ethiopia,Debub Omo,2005,5,-0.4575213244710311,original,594506.2145672034,208934.4131032283
ETH,Ethiopia,Debub Wollo,2005,5,0.5168419807119584,original,1211322.3946568086,521174.620529377
ETH,Ethiopia,Debubawi,2005,5,0.0984930884467257,original,1431751.9084497697,553121.0303109066
ETH,Ethiopia,Fafan,2005,5,-0.1902373026456529,original,1032469.6618888458,952209.2310375178
ETH,Ethiopia,Gamo Gofa,2005,5,-0.0508972020194106,original,691442.4764312886,300949.4333249477
