ISO3,COUNTRY,ADM_NAME,year,month,ndvi,data_status,lat_wgs84,lon_wgs84
ETH,Ethiopia,Mirab Hararghe,2013,8,0.5930484214701944,original,959821.8674397503,695425.1512868485
ETH,Ethiopia,Mirab Shewa,2013,8,0.6554260853789854,original,1012787.6426533792,374720.2339558294
ETH,Ethiopia,Mirab Welega,2013,8,0.7550229851466324,original,1032697.9544891039,93189.34631555267
ETH,Ethiopia,Misraq Gojjam,2013,8,0.6193526683381091,original,1162307.4901609693,382504.35478102614
ETH,Ethiopia,Misraq Harerge,2013,8,0.4843294376819897,original,977116.6510985142,830176.1323061767
ETH,Ethiopia,Misraq Shewa,2013,8,0.5968092372134028,original,941809.9861702574,516513.8849465026
ETH,Ethiopia,Misraq Wellega,2013,8,0.7298534298786996,original,1039747.3867830498,238185.46961815926
ETH,Ethiopia,Misraqawi,2013,8,0.4403683863875525,original,1557122.5327505618,561161.672201031
ETH,Ethiopia,North Shewa,2013,8,0.6346566708175322,original,1077319.1297421285,519061.2007128659
ETH,Ethiopia,Semen Gondar,2013,8,0.7096111513241941,original,1403688.5691285583,283385.27954423864
ETH,Ethiopia,Semen Wello,2013,8,0.5809767026493725,original,1313128.4243678527,523400.57115138916
ETH,Ethiopia,Sidama,2013,8,0.6328051257691703,original,736495.4309496412,448981.57327440515
ETH,Ethiopia,Silti,2013,8,0.6208517860452187,original,860238.8301044789,413973.540730715
ETH,Ethiopia,Wag Himra,2013,8,0.5692945724789497,original,1405454.9019432787,480362.52930550167
ETH,Ethiopia,Agew Awi,2013,9,0.7395912747991582,original,1237966.7252032289,237630.7306528011
ETH,Ethiopia,Alaba,2013,9,0.6150418241178104,original,819281.7111043445,413070.2957213864
ETH,Ethiopia,Arsi,2013,9,0.6239281127428619,original,877645.5697772538,574724.9062585309
ETH,Ethiopia,Bale,2013,9,0.4770473990011435,original,747946.3065913733,681361.231348667
ETH,Ethiopia,Bench Maji,2013,9,0.6919882616431119,original,701473.8482259716,114196.96727000308
ETH,Ethiopia,Borena,2013,9,0.3687087667151689,original,515172.1606803286,418016.61866877874
ETH,Ethiopia,Debub Gondar,2013,9,0.5733441409286578,original,1298625.058155536,403618.6083826701
ETH,Ethiopia,Debub Mirab Shewa,2013,9,0.6622953829238153,original,951583.702996164,413642.13798491366
ETH,Ethiopia,Debub Omo,2013,9,0.4673967063492062,original,594506.2145672034,208934.4131032283
ETH,Ethiopia,Debub Wollo,2013,9,0.6003670306488361,original,1211322.3946568086,521174.620529377
ETH,Ethiopia,Debubawi,2013,9,0.485548067708515,original,1431751.9084497697,553121.0303109066
ETH,Ethiopia,Fafan,2013,9,0.3462946252158891,original,1032469.6618888458,952209.2310375178
ETH,Ethiopia,Gamo Gofa,2013,9,0.5978118568026893,original,691442.4764312886,300949.4333249477
ETH,Ethiopia,Guji,2013,9,0.539350481766305,original,617143.6581352132,515541.0155111069
ETH,Ethiopia,Gurage,2013,9,0.6744985191655124,original,900983.5306617755,398032.32849572034
ETH,Ethiopia,Hadiya,2013,9,0.6504582477945755,original,830355.5261159564,362049.58761804504
ETH,Ethiopia,Horo Guduru,2013,9,0.7372217693983285,original,1073842.1136536016,303139.1779347765
ETH,Ethiopia,Ilubabor,2013,9,0.8011662014567779,original,923454.0637086349,147288.1625894781
ETH,Ethiopia,Jimma,2013,9,0.7378385608832023,original,875746.526436117,259839.3932920487
ETH,Ethiopia,Keffa,2013,9,0.7407991261328967,original,799856.0187669549,177107.59706387814
ETH,Ethiopia,Kelem Wellega,2013,9,0.7960597179675432,original,975242.8784768393,35649.15365851755
ETH,Ethiopia,Mehakelegnaw,2013,9,0.4637956553099886,original,1540791.2187320353,491809.79678931914
ETH,Ethiopia,Mirab Arsi,2013,9,0.5966161441268316,original,779934.148437699,497832.64267631114
ETH,Ethiopia,Mirab Gojjam,2013,9,0.6715047823862899,original,1244606.9300988333,305658.1265369256
ETH,Ethiopia,Mirab Hararghe,2013,9,0.5740372189013221,original,959821.8674397503,695425.1512868485
ETH,Ethiopia,Mirab Shewa,2013,9,0.7157494241483168,original,1012787.6426533792,374720.2339558294
ETH,Ethiopia,Mirab Welega,2013,9,0.7876948365758398,original,1032697.9544891039,93189.34631555267
ETH,Ethiopia,Misraq Gojjam,2013,9,0.6614080745652032,original,1162307.4901609693,382504.35478102614
ETH,Ethiopia,Misraq Harerge,2013,9,0.5527035665186885,original,977116.6510985142,830176.1323061767
ETH,Ethiopia,Misraq Shewa,2013,9,0.5482950527728191,original,941809.9861702574,516513.8849465026
ETH,Ethiopia,Misraq Wellega,2013,9,0.7559412729305921,original,1039747.3867830498,238185.46961815926
ETH,Ethiopia,Misraqawi,2013,9,0.3589788954449788,original,1557122.5327505618,561161.672201031
ETH,Ethiopia,North Shewa,2013,9,0.6373843483429811,original,1077319.1297421285,519061.2007128659
ETH,Ethiopia,Semen Gondar,2013,9,0.6819186895738638,original,1403688.5691285583,283385.27954423864
ETH,Ethiopia,Semen Wello,2013,9,0.5487071941228246,original,1313128.4243678527,523400.57115138916
ETH,Ethiopia,Sidama,2013,9,0.636438121917641,original,736495.4309496412,448981.57327440515
ETH,Ethiopia,Silti,2013,9,0.6333095742216456,original,860238.8301044789,413973.540730715
ETH,Ethiopia,Wag Himra,2013,9,0.4570559486632146,original,1405454.9019432787,480362.52930550167
ETH,Ethiopia,Agew Awi,2013,10,0.7166712111386103,original,1237966.7252032289,237630.7306528011
ETH,Ethiopia,Alaba,2013,10,0.5474717004723533,original,819281.7111043445,413070.2957213864
ETH,Ethiopia,Arsi,2013,10,0.61267357343954,original,877645.5697772538,574724.9062585309
ETH,Ethiopia,Bale,2013,10,0.6016132450578063,original,747946.3065913733,681361.231348667
ETH,Ethiopia,Bench Maji,2013,10,0.6865678418749692,original,701473.8482259716,114196.96727000308
ETH,Ethiopia,Borena,2013,10,0.4612848124419698,original,515172.1606803286,418016.61866877874
ETH,Ethiopia,Debub Gondar,2013,10,0.5073999548415693,original,1298625.058155536,403618.6083826701
ETH,Ethiopia,Debub Mirab Shewa,2013,10,0.6220647717359701,original,951583.702996164,413642.13798491366
ETH,Ethiopia,Debub Omo,2013,10,0.485361670121502,original,594506.2145672034,208934.4131032283
ETH,Ethiopia,Debub Wollo,2013,10,0.5431486478859675,original,1211322.3946568086,521174.620529377
ETH,Ethiopia,Debubawi,2013,10,0.4043379404359986,original,1431751.9084497697,553121.0303109066
ETH,Ethiopia,Fafan,2013,10,0.3512987140389833,original,1032469.6618888458,952209.2310375178
ETH,Ethiopia,Gamo Gofa,2013,10,0.6520972991020982,original,691442.4764312886,300949.4333249477
ETH,Ethiopia,Guji,2013,10,0.6604884112017103,original,617143.6581352132,515541.0155111069
ETH,Ethiopia,Gurage,2013,10,0.6725031805312932,original,900983.5306617755,398032.32849572034
ETH,Ethiopia,Hadiya,2013,10,0.6425304364936218,original,830355.5261159564,362049.58761804504
ETH,Ethiopia,Horo Guduru,2013,10,0.7193254511649871,original,1073842.1136536016,303139.1779347765
ETH,Ethiopia,Ilubabor,2013,10,0.8061627706460128,original,923454.0637086349,147288.1625894781
ETH,Ethiopia,Jimma,2013,10,0.7687359027546753,original,875746.526436117,259839.3932920487
ETH,Ethiopia,Keffa,2013,10,0.7858260042355516,original,799856.0187669549,177107.59706387814
ETH,Ethiopia,Kelem Wellega,2013,10,0.7914909782526135,original,975242.8784768393,35649.15365851755
ETH,Ethiopia,Mehakelegnaw,2013,10,0.3530546574400703,original,1540791.2187320353,491809.79678931914
ETH,Ethiopia,Mirab Arsi,2013,10,0.6269311873856609,original,779934.148437699,497832.64267631114
ETH,Ethiopia,Mirab Gojjam,2013,10,0.6335119059851019,original,1244606.9300988333,305658.1265369256
ETH,Ethiopia,Mirab Hararghe,2013,10,0.5594868793259103,original,959821.8674397503,695425.1512868485
ETH,Ethiopia,Mirab Shewa,2013,10,0.6926139242185431,original,1012787.6426533792,374720.2339558294
ETH,Ethiopia,Mirab Welega,2013,10,0.7726711133995753,original,1032697.9544891039,93189.34631555267
ETH,Ethiopia,Misraq Gojjam,2013,10,0.611715067135336,original,1162307.4901609693,382504.35478102614
ETH,Ethiopia,Misraq Harerge,2013,10,0.5645319504510953,original,977116.6510985142,830176.1323061767
ETH,Ethiopia,Misraq Shewa,2013,10,0.4571888178679903,original,941809.9861702574,516513.8849465026
ETH,Ethiopia,Misraq Wellega,2013,10,0.7516548089152932,original,1039747.3867830498,238185.46961815926
ETH,Ethiopia,Misraqawi,2013,10,0.2981861601773901,original,1557122.5327505618,561161.672201031
ETH,Ethiopia,North Shewa,2013,10,0.5736019841717506,original,1077319.1297421285,519061.2007128659
ETH,Ethiopia,Semen Gondar,2013,10,0.6105657076331411,original,1403688.5691285583,283385.27954423864
ETH,Ethiopia,Semen Wello,2013,10,0.4693429500014507,original,1313128.4243678527,523400.57115138916
ETH,Ethiopia,Sidama,2013,10,0.7157561268343818,original,736495.4309496412,448981.57327440515
ETH,Ethiopia,Silti,2013,10,0.5807901315789473,original,860238.8301044789,413973.540730715
ETH,Ethiopia,Wag Himra,2013,10,0.3483023354200986,original,1405454.9019432787,480362.52930550167
ETH,Ethiopia,Agew Awi,2013,11,0.6253387912436966,original,1237966.7252032289,237630.7306528011
ETH,Ethiopia,Alaba,2013,11,0.4263452347874409,original,819281.7111043445,413070.2957213864
ETH,Ethiopia,Arsi,2013,11,0.5403842262398407,original,877645.5697772538,574724.9062585309
ETH,Ethiopia,Bale,2013,11,0.5762866408873478,original,747946.3065913733,681361.231348667
ETH,Ethiopia,Bench Maji,2013,11,0.7123117084946937,original,701473.8482259716,114196.96727000308
ETH,Ethiopia,Borena,2013,11,0.5488553942394112,original,515172.1606803286,418016.61866877874
ETH,Ethiopia,Debub Gondar,2013,11,0.4233023085157096,original,1298625.058155536,403618.6083826701
ETH,Ethiopia,Debub Mirab Shewa,2013,11,0.5046366431011926,original,951583.702996164,413642.13798491366
ETH,Ethiopia,Debub Omo,2013,11,0.5465684610400466,original,594506.2145672034,208934.4131032283
ETH,Ethiopia,Debub Wollo,2013,11,0.4429341153271711,original,1211322.3946568086,521174.620529377
ETH,Ethiopia,Debubawi,2013,11,0.3246157872449041,original,1431751.9084497697,553121.0303109066
ETH,Ethiopia,Fafan,2013,11,0.3171168344436217,original,1032469.6618888458,952209.2310375178
