ISO3,COUNTRY,ADM_NAME,year,month,lst_c,data_status
ETH,Ethiopia,Borena,2024,9,31.59915629139787,original
ETH,Ethiopia,Debub Gondar,2024,9,25.04035215446988,original
ETH,Ethiopia,Debub Mirab Shewa,2024,9,22.96881427498308,original
ETH,Ethiopia,Debub Omo,2024,9,33.258887341955486,original
ETH,Ethiopia,Debub Wollo,2024,9,24.03524271978309,original
ETH,Ethiopia,Debubawi,2024,9,28.091112213288877,original
ETH,Ethiopia,Fafan,2024,9,29.740276831976285,original
ETH,Ethiopia,Gamo Gofa,2024,9,25.189148659034476,original
ETH,Ethiopia,Guji,2024,9,26.749234193903035,original
ETH,Ethiopia,Gurage,2024,9,22.051741762544456,original
ETH,Ethiopia,Hadiya,2024,9,22.892702751451186,original
ETH,Ethiopia,Horo Guduru,2024,9,22.72623476686686,original
ETH,Ethiopia,Ilubabor,2024,9,23.342183473464768,original
ETH,Ethiopia,Jimma,2024,9,22.23450700535868,original
ETH,Ethiopia,Keffa,2024,9,22.681809939123465,original
ETH,Ethiopia,Kelem Wellega,2024,9,25.26404263399076,original
ETH,Ethiopia,Mehakelegnaw,2024,9,27.74270131524081,original
ETH,Ethiopia,Mirab Arsi,2024,9,20.87660377418546,original
ETH,Ethiopia,Mirab Gojjam,2024,9,23.48317224511003,original
ETH,Ethiopia,Mirab Hararghe,2024,9,27.526554591962427,original
ETH,Ethiopia,Mirab Shewa,2024,9,22.37583432169668,original
ETH,Ethiopia,Mirab Welega,2024,9,24.5873455054877,original
ETH,Ethiopia,Misraq Gojjam,2024,9,23.4079292996602,original
ETH,Ethiopia,Misraq Harerge,2024,9,28.10557010676727,original
ETH,Ethiopia,Misraq Shewa,2024,9,26.927512889874023,original
ETH,Ethiopia,Misraq Wellega,2024,9,24.00266225340813,original
ETH,Ethiopia,Misraqawi,2024,9,27.89125883193028,original
ETH,Ethiopia,North Shewa,2024,9,22.950981889497317,original
ETH,Ethiopia,Semen Gondar,2024,9,27.092848321318275,original
ETH,Ethiopia,Semen Wello,2024,9,26.107495477979985,original
ETH,Ethiopia,Sidama,2024,9,23.243808038385403,original
ETH,Ethiopia,Silti,2024,9,23.410888389547832,original
ETH,Ethiopia,Wag Himra,2024,9,29.778435255827475,original
ETH,Ethiopia,Agew Awi,2024,10,24.683497227258908,original
ETH,Ethiopia,Alaba,2024,10,25.788215013429685,original
ETH,Ethiopia,Arsi,2024,10,22.96988161885439,original
ETH,Ethiopia,Bale,2024,10,26.45765442185528,original
ETH,Ethiopia,Bench Maji,2024,10,27.02559086315071,original
ETH,Ethiopia,Borena,2024,10,28.681963435579124,original
ETH,Ethiopia,Debub Gondar,2024,10,27.44522689848294,original
ETH,Ethiopia,Debub Mirab Shewa,2024,10,23.57205952554041,original
ETH,Ethiopia,Debub Omo,2024,10,31.216579868815664,original
ETH,Ethiopia,Debub Wollo,2024,10,25.266082310673088,original
ETH,Ethiopia,Debubawi,2024,10,28.441789182416255,original
ETH,Ethiopia,Fafan,2024,10,31.94701850481128,original
ETH,Ethiopia,Gamo Gofa,2024,10,24.46916796324012,original
ETH,Ethiopia,Guji,2024,10,24.092555874860963,original
